Client Sheet,A-002
Client Code,A-002
Client Name,MR FURQAN BRAND EXPERTS
Header Balance,50000

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
2023-10-09,A02-001,S2,688070,HADI S2 OBJECTION REMOVAL (DONE BASE) 15000 IN CASE OF REFISAL 13000 REFUNDABLE,15000,,15000
2023-10-09,,,,PAYMENT RECEIVED,,15000,0
2023-10-10,A02-002,S2,692272,3D LEADS C3 S2,10000,10000,0
2023-10-22,A02-003,S2,678913,MODWARE KINGS C6,8000,8000,0
2023-11-22,A02-004,S2,679149,MAK MODWARE KINGS ENTERPRICES C6 S2,9600,9600,0
2024-01-04,A02-010,S2,710152,"JA GROUP S2 ACCEPTANCE TM-16,TM-48 + REPLY",9600,9600,0
2024-01-19,A02-005,S2,704009,ROOP SHRINGAR C3 S2 (IN CASE OF FAILURE 8000 REFUNDABLE),10600,10600,0
2024-03-16,A02-006,S1,747084,NOROZ C25 S1,5000,5000,0
2024-03-19,A02-007,S1,747081,FINE BEST C32,5000,,5000
2024-03-19,A02-008,S1,747079,FINE BEST C30,5000,,10000
2024-03-19,,,,PAYMENT RECEIVED,,10000,0
2024-03-22,A02-009,S1,747934,THE SMART LYCEUM C41 S1,5000,,5000
2024-03-22,,,,PAYMENT RECEIVED,,5000,0
2024-06-26,A02-011,S1,760734,AQUA SAMRT PURE  C32 S1,5000,5000,0
2024-07-16,A02-012,S2,715697,REON C7 (S2),9600,,9600
2024-08-01,A02-013,S2,719792,BRAND EXPERTS,7600,,17200
2024-08-09,A02-014,S1,766280,MR. HEALTH (S1),5000,,22200
2024-08-12,A02-015,S2,717637,LEA PHENOM C18 (S2 + TM-16) [5000 REFUNDABLE IF REFUSED],9600,,31800
2024-08-12,,🅿,,PAYMENT RECEIVED,,15000,16800
2024-10-03,,🅿,,PAYMENT RECEIVED,,10000,6800
2024-11-12,A02-015,S2,642741,GULABBRI [S2] [6500 REFUNDABLE IF REFUSED],9600,,16400
2024-11-16,,🅿,,PAYMENT RECEIVED,,10000,6400
2024-12-05,,,,7 SEARCH,1400,,7800
2024-12-05,,,,MARWAZ COMMISSION ADJUSTMENT,,5000,2800
2025-04-28,A02-012,,715697,REON C7 (STOPPED & REFUNDED 8000) [stoped],0,0,2800
2025-04-30,A02-017,S1,810484,EDULIS FOODS C43 URGENT,5000,,7800
2025-05-29,A02-002,S3,692272,3D LEADS C3,11000,,18800
2025-05-29,A02-018,S2,777518,"DUE PROFESSIONAL C3 S2
ACCEPTANCE FEE 9000 [IN CASE OF FAILIER REFUNDABLE 7000]",9000,,27800
2025-05-29,,,,PAYMENT RECEIVED,,23600,4200
2025-07-16,A02-003,S3,678913,MODWARE KINGS C6 [TM-11 + TM-50],11000,,15200
2025-07-16,A002-006,S2,747084,NOROZ C25,9000,,24200
2025-07-23,A002-020,S2,723436,FRESH FOODS NIMKO & DATES C29,9600,,33800
2025-07-28,,,,PAYMENT RECEIVED,,10000,23800
2025-08-12,A-002-001,S3,688070,HAADI,10000,,33800
2025-08-12,,,,PAYMENT RECEIVED,,15000,18800
2025-08-28,A-002-021,S1,831901,THE FLOWER PALACE C35,5000,,23800
2025-09-04,A-002-022,S1,834568,THE FLOWER SHOP C35,5000,,28800
2025-09-04,A-002-023,S1,834569,THE FLOWER HUB C35,5000,,33800
2025-09-04,,,,PAYMENT RECEIVED,,20000,13800
2025-10-07,A-002-024,S1,840400,WASH & CARE C37,5000,,18800
2025-10-11,A-002-013,S3,719792,BRAND EXPERTS,11000,,29800
2025-10-11,A-002-013,S3,719792,PAYMENT RECEIVED,,20000,9800
2025-12-16,A-002-025,S1,853713,MIAN PLASTIC C20,4500,,14300
2025-12-16,A-002-026,S1,853712,PractiScale C35,4500,,18800
2025-12-16,,,,PAYMENT RECEIVED,,18800,0
2025-12-19,A-002-027,S1,854215,BRANO GRAPH C35,4500,,4500
2026-01-08,A-002-028,S1,857856,PANTHER LAW ASSOICATES C45,4500,,9000
2026-01-13,A-002-004,S3,679149,MAK MODWARE KINGS ENTERPRICES C6 [DEMAD NOTE FILING],11000,,20000
2026-01-13,,,,PAYMENT RECEIVED,,15000,5000
2026-01-14,A-002-029,S1,859447,BRUZOO C43,4500,,9500
2026-01-24,A-002-030,S2,811979,CARWAYI C35,9600,,19100
2026-01-24,A-002-021,S2,831901,THE FLOWER PALACE C35,9600,,28700
2026-01-26,,,,PAYMENT RECEIVED,,14000,14700
2026-03-06,A002-031,S2,838869,Ammi jan c29,9600,,24300
2026-03-07,A002-032 ,S1,870752,ZEEMAX HOME APPLIANCES C11,4500,,28800
2026-03-07,,,,PAYMENT RECEIVED,,15000,13800
2026-03-14,A002-033,S1,872935,3d ZAREEN TECH SERVIOCES C42,4500,,18300
2026-04-01,,,,PAYMENT RECEIVED ep 009 ,,10000,8300
2026-04-01,a-002-034,S2,832186,nmp new mian plastic paints [showcuse issueance  + S2],10600,,18900
2026-04-01,A-002-029,S2,859447,BRUZOO C43,9600,,28500
2026-04-22,,,,PAYMENT RECEIVED,,20000,8500
2026-04-30,A-002-025,S2,853713,MIAN PLASTIC C20,9600,,18100
2026-05-21,A-002-026,S2,853712,PractiScale C35,9600,,27700
2026-05-22,,,,payment received,,21000,6700
2026-06-11,A002-035,S2,854704,FASTER C5,9000,,15700
2026-07-24,A002-036,S2,783224,U-QHSE C45,9600,,25300
2026-08-07,,,,payment received,,20000,5300
2026-08-12,A002-037,S1,901493,GOSHI C25,4500,,9800
2026-08-12,A002-038,S1,901521,GOSHI MALL C35,4500,,14300
2026-08-24,A002-039,S2,881620,ZAVYA C5,9000,,23300
2026-09-02,A002-033,S2,872935,3d ZAREEN TECH SERVIOCES C42,9000,,32300
2026-09-02,A002-040,S1,,ZINGER EXPRESS  C43,4500,,36800
2026-09-02,A002-041,S1,,GLOW & GOLD C3,4500,,41300
2026-09-02,A002-042,S1,,AWAL GRAIN FOODS C30,4500,,45800
2026-09-07,A002-029,S3,859447,BRUZOO C43,11000,,56800
2026-09-07,A002-021,S3,831901,THE FLOWER PALACE C35,11000,,67800
2026-09-07,A002-025,S3,853713,MIAN PLASTIC C20,11000,,78800
2026-09-07,A002-031,S3,838869,Ammi jan c29 (11000),0,,78800
2026-09-05,,,,payment received,,20000,58800
2026-09-09,,,,payment received,,8800,50000
,,,,TOTAL,429000,379000,50000
