Client Sheet,A-005
Client Code,A-005
Client Name,NAMEEM LAW ASSOCIATES
Header Balance,0

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
,A05-001,S2,509013,CPEC [C34],12000,12000,0
2022-02-23,A05-002,S2,582722,INFEX,20000,20000,0
,A05-001,S3,509013,CPEC  DONE,10000,10000,0
,,,,EXTRA CPEC EARLY CERTIFICATE,2000,,2000
2022-04-20,,,,"PAYMENT RECIVED AT M IDREESS EASY PAISA 
ADJUSTED BELOW 25000/- (15000+10000)",0,0,2000
,A005-002,S3,582722,"INFEX  MOBILE C9 + DEMAND NOTE FEE TM-50 
10000+2000 EXTRA 1000",13000,15000,0
,A05-003,S1,660708,"KLEUTER C28 UPTO PUBLICATION 
(50,000) KUBAKA, NINIBYE, KLEUTER COMPLETED",0,0,0
,A05-004,S1,661025,KUBAKA C28 [ COMPLETED],0,0,0
,A05-005,S1,660707,NINIBYE C25 [ COMPLETED],50000,,50000
2022-04-15,,,,PAYMENT RECEIVED,,10000,40000
2022-04-15,,,,PAYMENT RECEIVED,,19800,20200
,A05-006,S2,683504,"ATACHI C9 & (UP TO PUBLICATION 
(OPPOSITION NOT INCLUDED) (PULISHED) LATER STOPED BY MR NAEEM",20000,,40200
2022-02-11,,,,PAYMENT RECEIVED,,4000,36200
2023-04-01,,,,PAYMENT RECEIVED,,24000,12200
2023-03-21,A05-007,S1 & S2,702546,"EITESAL C9   (S-2 DONE PUBLISED )
(AFGHAN NATIONAL UP TO PUBLICATION (OPPOSITION NOT INCLUDED)",25000,,37200
2023-04-06,,,,PAYMENT RECEIVED,,10000,27200
2023-04-07,,,,PAYMENT RECEIVED,,5000,22200
2023-04-19,,,,PAYMENT RECEIVED,,10000,12200
2023-04-20,A05-008,S2,704414,"A1 MOBILES C9 [ & ]
(UP TO PUBLICATION (OPPOSITION NOT INCLUDED)
DROPED ON MR NAEEM'S ORDER AND PAYMENT ADJUSTED 10000",20000,10000,22200
2023-05-22,,,,PAYMENT RECEIVED,,2000,20200
2023-09-19,A05-003,S3,660708,KLEUTER C28 [ + LATE FEE]   DONE ,12000,,32200
2023-09-19,A05-004,S3,661025,KUBAKA C28 [ + LATE FEE]   DONE ,12000,,44200
2023-09-19,A05-005,S3,660707,NINIBYE C25 [ + LATE FEE]  DONE ,12000,,56200
2023-09-19,,,,PAYMENT RECEIVED,,45000,11200
2023-12-28,A05-009,S1,736084,HOLYLAND C35  S-1 & 2 DONE S-3 HOLD BY MR NAEEM ,10000,,21200
2023-12-28,,,,PAYMENT RECEIVED,,10000,11200
2024-08-19,A05-010,S1 & S2,768195,BOBA DYNASTY C35 [ & UPTO PUBLICATION],20000,,31200
2024-08-19,,,,PAYMENT RECEIVED,,17000,14200
2025-01-15,,,,PAYMENT RECEIVED,,10000,4200
2025-03-10,,,,PAYMENT RECEIVED,,4000,200
2025-04-30,A05-009,S2,736084,HOLYLAND C35  S-1 & 2 DONE S-3 HOLD BY MR NAEEM ,10000,,10200
2025-04-30,,,,PAYMENT RECEIVED,,10000,200
2025-05-01,A005-011,S1,810488,IMFENEX MOBILE C9,10000,,10200
2025-05-02,,,,PAYMENT RECEIVED,,8000,2200
2025-05-14,A005-012,S1,813487,KUNG FU TEA COMPANY C30  S1 DONE S-2 FEE NOT RECIVED ,10000,,12200
2025-05-14,,,,PAYMENT RECEIVED,,8000,4200
2025-06-20,A005-013,S1,818566,XUEMI C30  S1 DONE S-2 FEE NOT RECIVED ,10000,,14200
2025-06-20,,,,PAYMENT RECEIVED,,10000,4200
2025-08-18,,,,PAYMENT RECEIVED,,9500,-5300
2025-08-19,A05-010,S3,768195,BOBA DYNASTY C35 [DEMAND NOTE FILING]  DONE ,10000,,4700
2025-08-19,,,,PAYMMENT RECEIVED,,10000,-5300
2025-08-19,A-005-014,S1,841034,Loomnet C38,10000,,4700
2025-10-29,A-005-009,S3,736084,HOLYLAND C35 [DEMAND NOTE FILING]  10000 on hold by mr naeem  ,0,,4700
2025-10-29,A-005-007,S3,702546,EITESAL C9 [DEMAND NOTE FILING] 10000 on hold by mr naeem ,0,,4700
2025-10-29,A-005-011,S2,810488,IMFENEX MOBILE C9   ( DONE PUBLISED) ,10000,,14700
2025-11-03,A-005-015,S1,845423, SHUAIAN BALOON C28,10000,,24700
2025-11-03,A-005-016,S1,845424, TONGLE  BALOON C28,10000,,34700
2025-11-02,,,,PAYMENT RECEIVED,,20000,14700
2025-11-05,,,,PAYMENT RECEIVED,,10000,4700
2026-03-05,A-005-015,S2,845423,SHUAIAN BALOON C28   ( DONE PUBLISED) ,10000,,14700
2026-03-05,A-005-016,S2,845424,TONGLE  BALOON C28  PUBLISED    ( DONE PUBLISED) ,10000,,24700
2026-03-06,,,,PAYMENT RECEIVED,,20000,4700
2026-04-03,A005-017,S1 & S2,874473,CARPOLY C2,20000,,24700
2026-04-03,A005-018,S1 & S2,874480,NP C2  ( DONE PUBLISED) ,20000,,44700
2026-04-03,,,,discount,,5000,39700
2026-04-03,,,,PAYMENT RECEIVED,,10000,29700
2026-04-22,,,,PAYMENT RECEIVED,,9700,20000
2022-04-15,A-005-014,S2,841034,Loomnet C38  ( S-2 DONE ),10000,,30000
2026-05-14,,,,PAYMENT RECEIVED,,10000,20000
2026-06-17,,,,PAYMENT RECEIVED,,20000,0
2026-07-08,A-005-015,S1,893331,NP COLOR MASTER PAINTS C2  (S-1 DONE S-2 ON HOLD) ,10000,,10000
2026-07-08,,,,PAYMENT RECEIVED,,10000,0
,,,,ONLY 1 WORK IS PENDING WHILE PAYMENT RECIVBED.,,,
,,,874473,CARPOLY C2 S-2 PENDING FEE RECIVED ,,,
,,,,TOTAL,408000,408000,0
