Client Sheet,A-011
Client Code,A-011
Client Name,ANDAN ADV FSD
Header Balance,-5500

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
2020-11-09,A11-01,S1,582213,KITCHEN TAG C21,6000,6000,0
2021-07-30,A11-02,S1,626429,KTC C21,6500,6500,0
2021-07-30,A11-01,S2,582213,KITCHEN TAG C21,6600,6600,0
,A11-02,S2,626429,KTC C21,6600,,6600
,A11-01,S3,582213,KITCHEN TAG C21 (DEMAND NOTE FEE ),10000,,16600
,A11-03,S1,661090,DENIZ C3,6000,,22600
2022-04-25,,,,PAYMENT RECEIVED,,22600,0
2022-09-20,A11-04,S1,676338,CHEMIST PHARMACY C35,6500,6500,0
2022-09-30,A11-05,S1,677913,HAYAT PLUS PHARMACY C35,6500,6500,0
,A11-03,S2,661090,DENIZ C3 (ACCEPTANCE DONE),6500,,6500
2024-01-30,A11-06,S1,740698,TJ & CO C37,6500,6500,6500
2024-03-01,A11-07,S1,746670,F. C25,6500,6500,6500
2024-05-13,A11-08,S1,758432,FOOD LINE C30,6500,6500,6500
2024-07-19,A11-09,S1,763289,FRIES ONE C30,6500,,13000
2024-07-19,,,,PAYMENT RECEIVED,,6500,6500
2024-07-29,A11-02,S3,626429,KITCHEN TAG C21 (DEMAND NOTE LATE FEE),19000,,25500
2024-07-29,,,,PAYMENT RECEIVED,,19000,6500
2024-08-08,A11-10,S1,766275,JUNAID JAVAID C37,6500,,13000
2024-08-08,,,,PAYMENT RECEIVED,,7000,6000
2024-11-04,A11-11,S1,779683,US HOME CRAFTS C21,6500,,12500
2024-11-04,,,,PAYMENT RECEIVED,,8000,4500
2025-02-10,A11-012,S1,797119,LIBAS N LEGACY C35,6500,,11000
2025-02-10,,,,PAYMENT RECEIVED,,6500,4500
2025-06-16,A11-08,S2,758432,FOOD LINE C30,6500,,11000
2025-06-22,,,,PAYMENT RECEIVED,,11000,0
2025-09-05,A11-012,S2,797119,LIBAS N LEGACY C35,6500,,6500
2026-06-17,A11-013,S1,888432,LEADSTAR SCHOOL SYSTEM C41,6500,,13000
2026-06-12,,,,PAYMENT RECEIVED,,12000,1000
2026-06-17,A11-08,S3,758432,FOOD LINE C30,10000,,11000
2026-06-17,,,,PAYMENT RECEIVED,,10000,1000
2026-06-17,,,,DISCOUNT,,1000,0
2026-07-27,A11-014,S1,,SSG HOME APPLIANCES C07,6500,,6500
2026-07-27,A11-015,S1,,MASTER HOME APPLIANCES C7,6500,,13000
2026-07-27,,,,PAYMENT RECEIVED,,5000,8000
2026-07-29,,,,PAYMENT RECEIVED,,8000,0
2026-08-08,A11-014,S1,,SSG HOME APPLIANCES C11,6500,,6500
2026-08-08,,,,PAYMENT RECEIVED,,6500,0
2026-08-11,A11-013,S2,888432,LEADSTAR SCHOOL SYSTEM C41,6500,,6500
2026-08-11,,,,PAYMENT RECEIVED,,12000,-5500
2026-09-07,A11-017,S1,,KHAIR-UL-BASHAR TRAVELS & TOURS C39,6500,,1000
2026-09-07,,,,PAYMENT RECEIVED,,6500,-5500
,,,,TOTAL,187700,193200,-5500
