Client Sheet,A-012
Client Code,A-012
Client Name,ABID BLUE AREA ISB
Header Balance,0

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
,A12-001,,,NAJEEB PHARRMACY CP,6000,6000,0
,A12-002,,513102,SOFTCARE CHENG HONG GIAN C16,28000,28000,0
,A12-003,S1 & S2,554074,BEPURE UP TO PUBLICATION,18000,,18000
,A12-004,,,BUTT KASHMIR MOTERS STAGE 1 & STAGE 2 (NEW CASE),14000,,32000
,A12-005,,,BKM RESTORATION (OLD CASE)- 12000-3000 DISCOUNT,9000,,41000
,,,,PAYMENT RECEIVED,,25000,16000
,,,,BKM MOTERS GOVT FEE,10000,,26000
2021-03-13,,,,PAYMENT RECEIVED,,10000,16000
,,,,BALANCE,0,,16000
2021-12-15,,,,RECEIVED BY HAND,,16000,0
,,,,RESTARTED 15/12/2021,0,,0
,A12-006,S1 & S2,,HYF C42 & UP TO PUBLICATION,16000,,16000
2021-12-22,,,,PAYMENT RECEIVED,,16000,0
,A12-006,S3,646797,HYF C42 (TM-50 + DEMAND NOTE),9500,,9500
,A12-007,S1 & S2,696135,WANG WANG CHINES RESTURANT (UP TO PUBLICATION),16000,,25500
2023-02-15,,,,PAYMENT RECEIVED VIA EASY PAISA,,25500,0
2023-05-02,A12-008,,705517,AKMA FRESH UP TO PUBLICATION C32,16000,16000,0
,a12-007,S3,696135,WANG WANG CHINES RESTURANT c43 [DEMAND NOTE FILING],10000,,10000
2024-04-03,,,,PAYMENT RECEIVED,,10000,0
2024-04-30,A12-009,S1 & S2,753115,HEROFUN C9 [UPTO PUBLICATION],16000,,16000
2024-05-27,,,,PAYMENT RECEIVED,,16000,0
2025-03-05,A12-010,S1 & S2,801006,CELLGER MAN C9 [UPTO PUBLICATION],18000,,18000
2025-03-05,A12-011,S1 & S2,800951,ZHIZ SOLAR C9 [UPTO PUBLICATION],18000,,36000
2025-03-05,,,,PAYMENT RECEIVED,,36000,0
2025-04-05,A12-013,S1 & S2,806114,PANDA DRINK C43 [UPTO PUBLICATION],18000,,18000
2025-04-14,,,,PAYMENT RECEIVED,,18000,0
2025-05-09,A012-014,S1 & S2,812232,GOLD BOX C43 [UPTO PUBLICATION],18000,,18000
2025-05-09,A012-015,S2,622498,TOCOSTAN C30 [SHOW CASE ISSUANCE 2K + ACCEPTANCE 12K],14000,,32000
2025-05-19,A12-012,S1 & S2,813496,HAPPY TEA C43 [UPTO PUBLICATION],18000,,50000
2025-05-19,,,,PAYMENT RECEIVED,,30000,20000
2025-07-03,A012-016,S1 & S2,820985,MIXUE C43 [UPTO PUBLICATION],18000,,38000
2025-07-03,,,725937,BLUE ECONOMY C35 [URGENT CERTIFICATE],5000,,43000
2025-07-04,,,,PAYMENT RECEIVED,,18000,25000
2025-07-24,,,,PAYMENT RECEIVED,,20500,4500
2025-07-29,A012-017,S1 & S2,825629,CRAYVINS C43 [UPTO PUBLICATION],18000,,22500
2025-07-31,A012-018,S1 & S2,826785,MD BATTRIES INDUSTURIES C9 [UPTO PUBLICATION],18000,,40500
2025-08-22,,,,PAYMENT RECEIVED,,18000,22500
2025-11-29,,,,PAYMENT RECEIVED,,20000,2500
2025-12-04,A012-019,S1 & S2,852430,HAPPY TEA (RED) C43 (TM-1) COMPANY [UPTO PUBLICATION],18000,,20500
2026-04-25,A12-010,S3,801006,CELLGER MAN C9 [DEMAND NOTE FILING],10000,,30500
2026-04-24,,,,PAYMENT RECEIVED,,30500,0
2026-04-25,A012-015,S3,622498,TOCOSTAN C30 [DEMAND NOTE FILING],12500,,12500
2026-04-24,,,,PAYMENT RECEIVED,,12500,0
2026-06-20,A012-018,S3,826785,MD BATTRIES INDUSTURIES C9 [DEMAND NOTE FILING],10000,,10000
2026-06-20,A012-017,S3,825629,CRAYVINS C43 [DEMAND NOTE FILING],10000,,20000
2026-06-20,,,,PAYMENT RECEIVED,,20000,0
2026-06-20,A012-014,S3,812232,"GOLD BOX C43 [DEMAND NOTE FILING] [10,000] [ON HOLD]",,,
2026-04-25,A012-011,S3,800951,"ZHIZ SOLAR C9 [DEMAND NOTE FILING] [10,000] [ON HOLD]",,,
,,,,TOTAL,392000,392000,0
