Client Sheet,A-017
Client Code,A-017
Client Name,MS SHAFIQ TAX CONSULTANT
Header Balance,15000

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
2023-08-28,A017-01,S1 & S2,718961,WELLNESS LOUNGE [C44 ACCEPTANCE TO PUBLICATION],15000,,15000
2023-08-28,,,,PAYMENT RECEIVED,,15000,0
2023-12-20,A017-02,S1 & S2,745484,OK FOODS [C43 UPTO PUBLICATION],15000,,15000
2023-02-12,,,,PAYMENT RECEIVED,,15000,0
2024-01-22,A017-03,S1 & S2,738839,YASEEN MALAK RESTAURANT [C43 UPTO PUBLICATION],15000,,15000
2024-01-22,,,,PAYMENT RECEIVED,,15000,0
2024-02-14,A017-04,S3,635905,GOODY BITES [C30 TM-11 LATE FILE],16000,,16000
2024-02-14,,,,PAYMENT RECEIVED,,16000,0
2024-07-31,A017-05,S1 & S2,769133,AROOSH RICE [C30 UPTO PUBLICATION],15000,,15000
2024-08-09,,,,PAYMENT RECEIVED,,15000,0
2024-08-15,A017-06,S1 & S2,767521,MINA [C-5 UPTO PUBLICATION],15000,,15000
2024-08-15,A017-07,S1 & S2,767523,ONDINE [C-5 UPTO PUBLICATION],15000,,30000
2024-08-16,,,,PAYMENT RECEIVED FOR THE CASE [XC17-06 | XC17-07],,30000,0
2025-03-03,A017-03,S3,738839,YASEEN MALAK RESTAURANT [C43 TM-11 FILING] URGENT,15000,,15000
2025-03-03,,,,PAYMENT RECEIVED,,15000,0
2025-06-28,A017-008,S1 & S2,819519,FRESH ONE RESOURCES C32 [UPTO PUBLICATION],15000,,15000
2025-06-28,,,,PAYMENT RECEIVED,,15000,0
2025-07-18,A017-06,S3,767521,MINA C-5 [TM-11 FILING] URGENT,15000,,15000
2025-07-18,A017-07,S3,767523,ONDINE C-5 [TM-11 FILING] URGENT,15000,,30000
2025-07-18,,,,PAYMENT RECEIVED,,30000,0
2025-07-23,A017-09,S1 & S2,824713,MARBAH C3,15000,,15000
2025-07-23,A017-05,S3,769133,AROOSH RICE C30 [DEMAND NOTE FILING],15000,,30000
2025-07-23,,,,PAYMENT RECEIVED (15K+15K),,30000,0
2025-07-31,A-017-10,S1 & S2,826788,HBCN C41 [UPTO PUBLICATION],15000,,15000
,,,,PAYMENT RECEIVED,,15000,0
2025-09-02,A-017-11,S1 & S2,834573,SLICE N BITES BITE C43 [UPTO PUBLICATION],15000,,15000
2025-09-08,,,,PAYMENT RECEIVED,,15000,0
2025-09-08,A-017-12,S1 & S2,834574,RAMCO C9,15000,,15000
2025-09-08,,,,PAYMENT RECEIVED,,15000,0
2025-10-22,A017-013,S1 & S2,843997,SAFI TRADING CO C9 [UPTO PUBLICATION],15000,,15000
2025-10-24,,,,PAYMENT RECEIVED,,15000,0
2025-12-18,A017-001,S3,718961,"WELLNESS LOUNGE C44 [DEMAND NOTE FILING hold ]  PKR 15,000 ",0,,0
2026-04-21,A017-014,S1 & S2,877459,KTD C7,15000,,15000
2026-04-21,,,,payment received ,,15000,0
2026-06-02,A-017-10,S3,826788,HBCN C41 [demand note filing],15000,,15000
2026-06-02,,,,PAYMENT RECEIVED,,15000,0
2026-06-23,A-017-009,S3,824713,MARBAH c3 [demand note filing],15000,,15000
2026-06-23,,,,payment received,,15000,0
2026-07-23,A-017-008,S3,819519,FRESH ONE RESOURCES c32 [demand note filing] [15000],15000,,15000
2026-07-23,,,,PAYMENT RECEIVED,,15000,0
2026-08-04,A-017-015,S1 & S2,,HARAM AESTHETICS C44,15000,,15000
2026-08-04,,,,PAYMENT RECEIVED,,12000,3000
2026-08-04,,,,DISCOUNT,,3000,0
2026-08-13,A017-016,S1 & S2,,AS AESTHETICS MEDICAL CENTER C44,15000,,15000
2026-08-24,A017-017 ,S1 & S2,,AL-IMRAN  CHAYIE C3,15000,,30000
,A-017-011,S3,834573,SLICE N BITES BITE c43 [demand note filing] [15000],0,,30000
,A-017-013,S3,843997,SAFI TRADING C9 [demand note filing] [15000],0,,30000
2026-08-25,,,,discount,,3000,27000
2026-08-25,,,,PAYMENT RECEIVED,,27000,0
2026-09-09,A017-018,S1 & S2,,CHASHMA E SHIFA C32,15000,,15000
,,,,TOTAL,376000,361000,15000
