Client Sheet,A-024
Client Code,A-024
Client Name,WAJAHAT XYC PRIDE
Header Balance,0

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
2021-01-29,A24-001,S1,,PRIDE C30,8000,8000,0
2022-11-10,A24-001,S2,,PRIDE C30,8000,,8000
2021-03-27,A24-002,,,SECP AL BAQI,15000,5000,18000
,,,,PAYMENT RECEIVED,,8000,10000
,,,,DISCOUNT,,2000,8000
,,,,AL BAQI CTC,1000,1000,8000
,A24-003,,,PAKWAN C30,8000,,16000
,,,,USMAN KHALID COMPANY TOTAL FEE (20000),,10000,6000
,,,,FEE REVERSE,5000,,11000
,A24-004,,,A1 SURF C3,7000,,18000
2021-12-15,,,,PAYMENT RECEIVED,,10000,8000
2022-02-14,A24-005,S1,,MRS FOODS C30,6000,6000,8000
,A24-006,,,RAHMAT ELECTRONICS TRADERS (SMC-PRIVATE) LIMITED SECP,7000,7000,8000
2024-07-08,,,,PAYMENT RECEIVED,,8000,0
,,,,TOTAL,65000,65000,0
