Client Sheet,A-036
Client Code,A-036
Client Name,MEHWISH BUISNESS BABA
Header Balance,0

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
,A36-001,,,QURE C32,0,0,0
,A36-002,,,BIO CHEM C5,0,0,0
2023-04-27,A36-003,S1,,ANTAFLEX C5,6500,,6500
2023-04-27,A36-004,S1,,IVY GEM C5,6500,,13000
2023-04-27,A36-005,S1,,GEMSUN D C5,6500,,19500
2023-04-27,A36-006,S1,,FEMILAC C5,6500,,26000
2023-04-27,A36-007,S1,,LEUCOFINE C5,6500,,32500
2023-04-27,A36-008,S1,,MEGATONE C5,6500,,39000
2023-04-27,A36-009,S1,,BEFIT C5,6500,,45500
2023-04-21,,,,PAYMENT RECEIVED,,45500,0
,,,,DISCOUNT/ REFUND,10500,10500,0
,,,,TOTAL,56000,56000,0
