Client Sheet,A-039
Client Code,A-039
Client Name,AMJAD UME COSMATICS
Header Balance,0

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
2021-10-11,A39-001,S1,636426,UME C3,8000,,8000
2021-10-20,,,,PAYMENT RECEIVED 4000+2000+ DISCOUNT 2000,,8000,0
,A39-002,,,ANSA COSMETICS COMPANY PVT LTD,10000,10000,0
,A39-003,,,AMJAD ALI FBR,2000,2000,0
,A39-004,,,GOHAR AFRIDI FOODS (SMC-PRIVATE) LIMITED,10000,,10000
,A39-005,,,GOHAR AFRIDI FOODS C35,6000,,16000
2022-10-25,,,,PAYMENT RECEIVED,,16000,0
,A39-006,,,MK COSMETICS (PRIVATE) LIMITED+ NTN OF 2 DIRECTORS,9000,,9000
2023-06-06,A39-007,,,MK COSMETICS C3,7000,14000,2000
,,,,DISCOUNT,,1000,1000
2023-06-13,A39-008,,,NAUMAN ALI NTN,2000,,3000
2023-06-13,A39-009,S1,,AK COSMETICS TRADER C3,6000,,9000
2023-06-13,,,,DISCOUNT,,1000,8000
2023-06-13,,,,PAYMENT RECEIVED,,7000,1000
2024-07-06,A39-010,S1,,3D COSMETICS TRADER C3  10K ADDED IN 2K3D COSMETICS PRIVATE LIMITED +NTN,0,0,1000
2024-07-06,A39-011,,,,20000,,21000
,,,,PAYMENT RECEIVED EP009,,15000,6000
2024-07-08,,,,PAYMENT RECEIVED EP009,,5000,1000
2024-12-02,A39-012,S1,,BOAT C3,7000,,8000
2024-12-02,A39-012,,,PAYMENT RECEIVED,,3400,4600
2024-12-05,A39-012,,,PAYMENT RECEIVED,,4300,300
2024-12-05,A39-013,S1,,A.J COSMETICS PK C3,7000,,7300
2024-12-05,,,,PAYMENT RECEIVED,,7300,0
2025-06-23,A039-014,S1,,GLOW JANAN C3,7000,,7000
2025-06-23,,,,PAYMENT RECEIVED,,7000,0
2025-07-24,A039-015,S1,,HAK COSMETICS C30,7000,,7000
2025-07-24,,,,PAYMENT RECEIVED,,7000,0
2025-08-20,A039-001,S2,636426,UME C3 [8000] pending,0,0,0
2025-08-19,A039-001,,636426,PAYMENT RECEIVED,,8000,-8000
2025-09-23,,,,tax return - mr. amjad [2024-25 + atl],5000,,-3000
2025-10-31,A039-016,S1,,laiqat cosmetics company ,7000,,4000
2026-07-02,,,,PAYMENT RECEVED,,4000,0
2026-07-08,A039-017,,,BUY EXPRESS (SMC-PVT) LTD (COMPANY INC),16000,,16000
2026-07-08,A039-003,,,NTN,1000,,17000
2026-07-10,A039-018,,,BUY EXPRESS (SMC-PVT) LTD C35,8000,,25000
2026-07-04,,,,PAYMENT RECEIVED,,25000,0
,,,,TOTAL,145000,145000,0
