Client Sheet,A-042
Client Code,A-042
Client Name,KKC KAMRAN ISLAMABAD
Header Balance,19000

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
,A042-001,"S1, S2",,OXY BLUE ( PENDING),5000,5000,0
,A042-002,S1,,VAPOR DROP C30,5000,5000,0
,A042-003,S2,,RUDEN ENCLAVE C36,6600,,6600
,A042-005,S2,,TAVCARE,6000,6000,6600
,,,,PAYABEL ADJUSTMENT,,17500,-10900
,,,,LEDGER RESTARTED FROM THE LINE BELOW,0,0,-10900
2021-01-23,,,,PAYMENT RECEIVED,6600,2200,-6500
2021-01-24,,,,PAYMENT RECEIVED,6600,5000,-4900
,,,,RUDEN ENCLAVE C36 DEMAND NOTE FEE,9000,,4100
,,,,BALANCE,0,0,4100
,A042-006,,480803,KK CONSULTANT C35 STOP,1000,6000,-900
,A042-007,,497988,KK CONSULTANT C42 STOP,0,0,-900
,A042-008,,621609,KK CONSULTANT C39 STOP,0,0,-900
,A042-009,,623754,KK CONSULTANT C43 STOP,1600,6000,-5300
,A042-010,S2,628102,KK CONSULTANT C44 (ACCEPTANCE DONE),6600,,1300
,A042-011,S2,628103,KK CONSULTANT C37 (ACCEPTANCE DONE),6600,,7900
2021-01-23,,,,PAYMENT RECEIVED,,2200,5700
2022-01-24,,,,PAYMENT RECEIVED,,5000,700
2022-01-26,,,,PAYMENT RECEIVED,,7100,-6400
2022-01-29,,,,PAYMENT RECEIVED,,2000,-8400
2022-01-29,,S2,,HARIS BADAR 5 CASES ADJUSTMENT,,3000,-11400
,A042-013,,506003,KK CONSULTANT C36 TM-11 ONLY,9000,,-2400
,A042-014,,506008,KK CONSULTANT C41 TM-11 ONLY,9000,,6600
,A042-015,,506000,KK CONSULTANT C45 TM-11 ONLY,9000,,15600
2022-01-31,,,,PAYMENT RECEIVED,,10000,5600
,,,,3 TM-11 EXPENCE,1500,,7100
2022-07-18,,,,PAYMENT RECEIVED (2500+2000),,4500,2600
,A042-004,S2,,RUDEN ENCLAVE C37 (ACCEPTANCE DONE),6600,,9200
2022-03-08,,,,PAYMENT RECEIVED,,6000,3200
,A042-002,S2,614504,VAPOR DROP C30 (PUBLISHED),6600,,9800
2023-03-04,,,,PAYMENT RECEIVED,,3000,6800
,,,,DISCOUNT,,1800,5000
2023-04-15,,,,PAYMENT RECEIVED,,5000,0
2024-08-03,A042-016,S2,649977,KON JAE C35 ACCEPTED,8500,,8500
2024-08-03,A042-017,S2,621609,KK CONSULTANT C39,0,,8500
2024-08-03,A042-018,S2,623754,KK CONSULTANT C43,0,,8500
2024-08-03,,,,PAYMENT RECEIVED,,24000,-15500
2024-03-13,A042-019,S2,704409,SMARTCHOICE + TM 16  ACCEPTED,9100,,-6400
2024-03-13,A042-011,S3,628103,"KK CONSULTANT C37 TM-50,48,11",10500,,4100
2024-03-13,,,,PAYMENT RECEIVED,,20000,-15900
2024-03-18,A042-020,S2,709782,SMARTCHOICE + TM 16  ACCEPTED,9100,,-6800
2024-03-18,A042-002,S3,614504,"VAPOR DROP C30 TM-50,48,11",10500,,3700
2024-03-18,,,,PAYMENT RECEIVED 15000 TO MBL AND 3000 TO EP,,18000,-14300
2024-03-18,,,,PAYMENT RECEIVED,,2700,-17000
2024-05-24,A042-021,S2,614506,OXY BLUE C32  DROPED,,9000,-26000
2024-07-19,A042-010,,628102,KKC C44 RESTOTARION & TM-11,20000,,-6000
,A042-009,S2,623754,KKC C-43  ACCEPTNESS DONE,9100,,3100
,A042-017,S2,621609,KKC C-39  ACCEPTNESS DONE,9100,,12200
,,,,DISCOUNT,,3200,9000
2024-07-19,,,,PAYMENT RECEIVED 4000+5000 EP 009,,9000,0
2024-07-25,,,,PAYMENT RECEIVED,,2000,-2000
RESTART,,,,ADJUSMENT DONE,2000,,0
,A042-22,S2,730916,MOMLY BABY C25  + TM 16,9100,,9100
2024-10-28,,,,PAYMENT RECEIVED,,7500,1600
2024-11-16,,,,PAYMENT RECEIVED,,1600,0
2024-12-16,A042-23,S2,725758,EXPRESS GLOBLE C39  + TM 16,9100,,9100
2024-12-16,,,,PAYMENT RECEIVED,,9100,0
2025-01-17,A042-016,S3,649977,KON JAE C35,10500,,10500
2025-01-17,,,,PAYMENT RECEIVED,,15000,-4500
2025-06-20,A042-017,S3,621609,KKC C-39,10500,,6000
2025-06-20,,,,PAYMENT RECEIVED,,6000,0
2025-06-20,A042-009,S3,623754,KKC C-43,10500,,10500
2025-07-28,,,,PAYMENT RECEIVED,,10500,0
2025-07-28,A042-024,S2,765386,KK CONSULTANT C40,9100,,9100
2025-08-19,A042-025,S2,781147,TRENDYTOTS.PK C25 [TM-16],9100,,18200
2025-08-19,,,,PAYMENT RECEIVED,,20000,-1800
2025-08-19,,,,SENT BACK,1800,,0
2025-09-23,A042-026,S1 & S2,837416,OXY BLUE C32 [UPTO PUBLICATION] NEW,15000,,15000
2025-09-23,,,,PAYMENT RECEIVED,,10000,5000
2025-12-09,A042-027,S2,590894,HIDDEN HILLS HOTEL & RESORTS C43,8000,,13000
2025-12-09,A042-028,S2,590894,HIDDEN HILLS HOTEL & RESORTS C35,8000,,21000
2025-12-09,A042-029,S2,590894,HIDDEN HILLS HOTEL & RESORTS C41,9000,,30000
2025-12-10,,,,PAYMENT RECEIVED,,20000,10000
2026-01-03,,,,PAYMENT RECEIVED,,5000,5000
2026-01-05,,,,PAYMENT RECEIVED,,5000,0
2026-03-06,A042-030,S2,835473,ALI ELECTRONICS C35 (TM-16),9100,,9100
2026-04-10,,,,PAYMENT RECEIVED,,9000,100
2026-04-10,,,,discoUNT,,100,0
2026-07-09,A042-026,S3,837416,OXY BLUE C32 [demand note filing],10500,,10500
2026-07-09,,,,payment received,,5500,5000
2026-07-24,,,,PAYMENT RECEIVED,,5000,0
2026-07-25,A042-031 ,S2,865094,CANADIAN SOLAR C9 [kamran] [STOPPED] 9000,0,,0
2026-07-25,A042-032,S2,858792,JESKO C9 ,9000,,9000
2026-07-27,A042-033,S2,858791,JESKO BATTERY C9,9000,,18000
2026-07-26,,,,PAYMENT RECEIVED,,18000,0
2026-08-01,A042-035,S2,758794,PAWA SOLAR C9,15000,,15000
2026-08-01,,,,patment received,,40000,-25000
2026-08-04,,S2,858796,PAWA S2 CASES PENDING ,25000,,0
2026-08-04,A042-034,S2,858790,JESKO INVERTERS C9 ,9000,,9000
2026-08-17,A042-025,S3,781147,TRENDYTOTS.PK C25,10000,,19000
2026-08-17,,,,payment received,,19000,0
2026-08-21,A042,S3,,KKC C40,10000,,10000
2026-08-21,,,,PAYMENT RECEIVED,,10000,0
2026-08-25,A42-036,S2,858793,JESKO BIKE  C12,9000,,9000
2026-08-27,,,,PAYMENT RECEIVED,,8500,500
2026-09-04,,S2,868278, Pawa Petroleum  c37,9000,,9500
2026-09-04,,S2,868279,Pawa Petroleum 4,9000,,18500
2026-09-04,,S2,880514,Perfect Cables 9,9000,,27500
2026-09-04,,S2,880516,Jesko Cables 9,9000,,36500
2026-09-04,,S2,868677,Jesko Steel 40,9000,,45500
2026-09-04,,,,PAYMENT RECEIVED,,60000,-14500
2026-09-04,,,,discoUNT,,5000,-19500
2026-09-04,,,,PAYMENT RECEIVED,,500,-20000
2026-09-04,,S3,858797,Pawa Bike  c12 (s3 pending advance payment entered),10000,,-10000
2026-09-04,,S3,590894, HIDDEN HILLS  c43   (s3 pending advance payment  entered),10000,,0
2026-09-04,,S3,590895, HIDDEN HILLS   c35   (s3 pending advance payment entered),10000,,10000
2026-09-04,,S3,590896, HIDDEN HILLS  c41  (s3 pending advance paymententered),10000,,20000
2026-09-07,,,,PAYMENT RECEIVED,,10000,10000
2026-09-12,A42-036,S2,868677,JESKO BIKE C12,9000,,19000
,,,,TOTAL,509500,490500,19000
