Client Sheet,A-043
Client Code,A-043
Client Name,WAQAS CONSULTANT ISB
Header Balance,4000

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
2021-01-01,A43-001,,,BANI FOOD SECP,10000,10000,0
2021-09-06,A43-002,,,AL AAMINA F & B SSCP,10000,10000,0
2021-12-06,A43-003,S1,,AQUA ATTOCK C32,7000,7000,0
2021-09-09,A43-004,,,WS FOOD F&B SSCP,10000,10000,0
2021-09-18,A43-005,S1,,AQUA SAFE HEALTH C32,8000,8000,0
2021-09-18,A43-006,S1,,AQUA EAST C-32,8000,8000,0
2022-04-20,,,,MABSONS FOOD & BEVERAGES PRIVATE LIMITED (SHIFTED TO CASE NO 67),10000,10000,0
2022-04-20,,S1,,MUM VALLY C32 (SHIFTED TO CASE NO 67),8000,8000,0
,,,,MABSON RETURN FORM A & 29 (2022),8500,8500,0
,,,,MABSON MANUAL CTC,2000,,2000
,,,,TM SEARCH,1000,,3000
2022-07-18,A43-007,S1,,PAKPURE C32 (URGENT) STOPED MOVE TO 590,8000,8000,3000
2022-07-25,,,,PAK PURE SPLASH NTN,2500,5000,500
,A43-003,S2,,AQUA ATTOCK C32 (ACCEPTANCE DONE),8000,,8500
,A43-006,S2,,AQUA EAST C-32,8000,,16500
2022-12-06,,,,PAYMENT RECEIVED (MBL),,10000,6500
2023-05-13,A43-006,S3,,AQUA EAST C-32 (DEMAND NOTE + TM-50),10000,10000,6500
,,,,ADJUSTMENT/LOSS,,1500,5000
2023-09-20,,,,PAYMENT RECEIVED (MBL),,5000,0
2023-11-29,A43-003,S3,,AQUA ATTOCK C32 (DEEMAND NOT FILING),10000,10000,0
2024-03-16,,,,"AL-AAMINA FOOD AND BEVERAGES PVT LTD INCOME TAX RETURN (2021,2022 & 2023)",6000,6000,0
2024-04-19,A43-007,S1,,MR. FRUITON C32,8000,8000,0
2024-07-26,,,,"AHMED WASEEM SHAHID (TAXRETURN 22,23,24",7500,,7500
2024-07-26,,,,DISCOUNT,,1000,6500
2024-07-26,,,,PAYMENT RECEIVED (MBL),,6500,0
2024-08-04,,,,MR. AHMED NADEEM MALIK TAX RETURN [2024],2000,,2000
2024-08-04,,,,PAYMENT RECEIVED (MBL),,2000,0
2024-12-31,A43-002,,,AL AAMINA FOOD AND BEVERAGES (PRIVATE) LIMITED - TAX RETURN [2024],2000,,2000
2024-12-31,,,,PAYMENT RECEIVED,,2000,0
2015-10-31,,,,AL AAMINA FOOD AND BEVERAGES (PRIVATE) LIMITED - TAX RETURN [2025],2000,,2000
2015-10-31,,,,AHMED WASEEM SHAHID (TAXRETURN 2025),2000,,4000
,,,,TOTAL,158500,154500,4000
