Client Sheet,A-049
Client Code,A-049
Client Name,ITNA CONSULTANT RWP
Header Balance,1100

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
,A49-001,,589193,HUSSAIN HOURSE & CATTLE [FORM 31],7500,,7500
,A49-002,S2,589195,LUXURIOUS [C25 ],7500,,15000
2021-12-08,,,,PAYMENT RECEIVED,,7000,8000
2021-08-17,,,,PAYMENT RECEIVED,,8000,0
2022-05-23,A49-002,S3,589195,LUXURIOUS [C25 ],10500,10500,0
,A49-003,S2,654700,DOCKYARD [C24 ACCEPTANCE + TM-16],8000,,8000
2022-02-09,,,,PAYMENT RECEIVED,,8000,0
2024-01-05,A49-004,S2,682283,SAUDI PLUS [C4 8600+TCS 400],8600,,8600
2024-06-05,,,,PAYMENT RECEIVED,,8600,0
2024-08-08,A49-005,S2,717193,AL KUNHAR FOODS [C30 ] [IN CASE OF REFUESAL REFUNDABLE 5000],9000,,9000
2024-08-12,,,,PAYMENT RECEIVED,,9000,0
2024-08-12,A49-005,,717193,AL KUNHAR FOODS (TM-16),1000,,1000
2024-08-12,A49-005,,717193,AL KUNHAR FOODS (TM-16) FOR ADDRESS CHANGE,1000,,2000
2024-12-17,A49-006,S1,787216,TECH NEST C9,6000,,8000
2025-01-19,,,,PAYMENT RECEIVED,,6000,2000
2025-05-22,,,,AL KUNHAR FOODS RETURNABLE,,5000,-3000
2025-06-20,,,,AMBASSADOR SEARCH,500,,-2500
2025-06-25,,,,SEARCH,500,,-2000
2025-06-25,,,,REFUNDED,2000,,0
2025-07-03,,,,SEARCH,500,,500
2025-08-06,A49-006,S2,787216,TECH NEST C9,9000,,9500
2025-08-06,,,,PAYMENT RECEIVED,,9000,500
2025-09-23,A49-007,S2,793304,FLORA CLEAN C3,9000,,9500
2025-09-23,A49-007,,793304,PAYMENT RECEIVED,,9000,500
2025-12-09,A49-008,S2,804892,AGRI YARD  ,9600,,10100
2025-12-09,,,,,,9000,1100
,,,,TOTAL,90200,89100,1100
