Client Sheet,A-056
Client Code,A-056
Client Name,AIMA MANAGEMENT
Header Balance,1000

DATE,Folder No,Stage,TM nO,Details,Due,Received,Balance
2025-01-09,A056-001,S2,737030,ANNAAFI EPAY C-36 ,15000,,15000
2025-01-09,A056-002,S2,737029,ALNAFI E-LEARNING 737029 C41 ,15000,,30000
2025-01-10,,,,RECEIVED PAYMENT FROM UBL (283427516) TO MEEZAN,,15000,15000
2025-02-23,,,,PAYMENT RECEIVED,,15000,0
2025-03-10,A056-003,S1 & S2,802482,AL-NAFI INTERNATIONAL COLLEGE C41 [UPTO PUBLICATION],22000,,22000
2025-03-27,,,,PAYMENT RECEIVED,,10000,12000
2025-05-05,A056-004,S1 & S2,,AL-NAFI ACADEMY O LEVEL IGCSE C41 [UPTO PUBLICATION],22000,,34000
2025-05-18,,,,PAYMENT RECEIVED,,10000,24000
,A056-002,S3,737029,ALNAFI E-LEARNING C-41 ,10000,,34000
2025-12-24,A056-001,S3,737030,ANNAAFI EPAY C-36 ,10000,,44000
2026-01-06,,,,PAYMENT RECEIVED,,45000,-1000
2026-01-22,A056-003,S3,802482,AL-NAFI INTERNATIONAL COLLEGE C41 [PENDING DUE LATER],,,
2026-01-22,A056-004,S3,,AL-NAFI ACADEMY O LEVEL IGCSE C41 [PENDING DUE LATER],,,
2025-05-28,A056-005,S1,817171,ALSPAK C30  URGENT,12000,,12000
2025-06-13,,,,PAYMENT RECEIVED,,12000,0
2025-07-12,A056-006,S1,822963,AHLAM NATURAL C29 URGENT ,12000,,12000
2025-07-17,,,,PAYMENT RECEIVED,,10000,2000
2025-12-24,A056-006,S2,822963,AHLAM NATURAL C29,12000,,14000
2025-12-24,,,,PAYMENT RECEIVED,,12000,2000
,,,,TOTAL,130000,129000,1000
